S No,Website,Active Voice ,Passive Voice,
3554,,The officials followed the orders.,The orders were followed by the officials.,
3555,,The cashier is counting the money.,The money is being counted by the cashier.,
3556,,The tourists have fed the ducks.,The ducks have been fed by the tourists.,
3557,,The naturalist will photograph the flowers.,The flowers will be photographed by the naturalist.,
3558,,The manager paid the bill.,The bill was paid by the manager.,
3559,,The baker made the bread.,The bread was made by the baker.,
3560,,The electrician must check the wiring.,The wiring must be checked by the electrician.,
3561,,The squirrel was scolding the crow.,The crow was being scolded by the squirrel.,
3562,,A doctor wrote the book.,The book was written by a doctor.,
3563,,A student painted the house.,The house was painted by a student.,
3564,,The chickadee took the seeds.,The seeds were taken by the chickadee.,
3565,,The guest has drunk the cider.,The cider has been drunk by the guest.,
3566,,The secretary opens the mail.,The mail is opened by the secretary.,
3567,,The cooks have measured the ingredients.,The ingredients have been measured by the cooks.,
3568,,The photographers saw the bird.,The bird was seen by the photographers.,
3569,,The magazine will publish his work.,His work will be published by the magazine.,
3570,,The squirrel ate the nut.,The nut was eaten by the squirrel.,
3571,,The child will open the parcel.,The parcel will be opened by the child.,
3572,,The boys are mowing the lawn.,The lawn is being mowed by the boys.,
3573,,The cow is eating the clover.,The clover is being eaten by the cow.,
3574,,The dealer ordered the wine.,The wine was ordered by the dealer.,
3575,,The poacher could have killed the deer.,The deer could have been killed by the poacher.,
3576,,The policeman gave you a medal.,You were given a medal by the policeman.,
3577,,He is driving to the airport.,He is being driven to the airport.,
3578,,He writes good stories.,Good stories are written by him.,
3579,,We eat all the mangoes.,All the mangoes are eaten by them.,
3580,,They play cricket.,Cricket is played by them.,
3581,,I bought a new car.,A new car is bought by me.,
3582,,Pooja delivered a wonderful speech.,A wonderful speech was delivered by Pooja,
3583,http://www.leadthecompetition.in/english/grammar/active-and-passive-voice-4.html,Who had laughed at you?,By whom had you been laughed at?,
3584,,Did he plan an excursion to mountains?,Was an excursion to mountains planned by him?,
3585,,The judge ordered the murderer to be hanged.,The murderer was ordered by the judge to be hanged.,
3586,,We shall write a novel.,A novel will be written by us.,
3587,,I didn't speak even a single word in the meeting.,Even a single word was not spoken by me in the meeting.,
3588,,All know that too many cooks spoil the broth.,That too many cooks spoil the broth is known to all.,
3589,,We prohibit smoking.,Smoking is prohibited.,
3590,,Ratan is performing an experiment.,An experiment is being performed by Ratan.,
3591,,Sita learns her lessons daily.,Her lessons are learnt daily by Sita.,
3592,,Did everybody miss the first bus?,Was the first bus missed by everybody?,
3593,,We will not allow them to run away.,They will not be allowed to run away by us.,
3594,,Everyone must read this book.,This book must be read by everyone.,
3595,,He knew that his own life was unjust.,It was known to him that his own life was unjust.,
3596,,The student has learnt the answer by heart.,The answer has been learnt by heart by the student,
3597,,The old lady touched and patted the cow.,The cow was patted and touched by the old lady.,
3598,,My grandfather gave me this watch.,This watch was given to me by my grandfather.,
3599,,Who is feeding the child?,By whom is the child being fed?,
3600,,Alexander expected to conquer the world.,It was expected by Alexander that he would conquer the world.,
3601,,Her day is begun with a cup of coffee.,She begins her day with a cup of coffee.,
3602,,Cacao tastes bitter.,Cacao is bitter when it is tasted.,
3603,,A great man acknowledged me as a flatterer to him.,I was acknowledged by a great man to be a flatterer.,
3604,,Let us help him.,Let he be helped.,
3605,,Can I ever forget those happy moments?,Can those happy moments be ever forgotten by me?,
3606,,You have to do this immediately.,This has to be done by you immediately.,
3607,,The labourers were digging a canal.,A canal was being dug by the labourers,
3608,,The Watchman switched on the lights before it began to grow dark.,The lights were switched on by the watchman before it began to grow dark.,
3609,,Where do you keep the current magazines?,Where are the current magazines being kept?,
3610,,Her kind deed will have rewarded her.,She will be rewarded for her kind deed.,
3611,,God gives us happiness.,Happiness is being given to us by God,
3612,,Who tore the curtains yesterday?,By whom were the curtains torn yesterday?,
3613,,Kindly offer your remarks.,You are requested to offer your remarks.,
3614,,Circumstances will oblige me to go.,I shall be obliged to go.,
3615,,It is time to water the plants.,It is time for the plants to be watered.,
3616,,The same burglary team had stolen our vehicle from our garage.,Our vehicle had been stolen from our garage by the same burglary team.,
3617,,These days most of the students do their assignments with the help of the internet.,These days the assignments are being done with the help of the internet by most of the students.,
3618,,Who gave you the money?,By whom were you given the money?,
3619,,The interference of the police force could hardly have altered the situation.,The situation could hardly have been altered by the interference of the police force.,
3620,,Rajesh could not complete his paper because he had a headache.,The paper of Rajesh could not be completed by him because he had a headache.,
3621,,The Swiss regarded him as an imposter and called him a Villain.,He was regarded as an imposter and was called a Villain by the Swiss.,
3622,,My brilliant niece is speaking in Italian.,Italian is being spoken by my brilliant niece.,
3623,,"In a city called Vaishali, lived a very efficient and prosperous merchant.",A very efficient and prosperous merchant lived in a city called Vaishali.,
3624,,The servant will execute all orders promptly.,All orders will be executed promptly by the servant.,
3625,,Some people were helping the wounded woman.,The wounded woman was being helped by some people.,
3626,,My father will write a letter.,A letter will be written by my father.,
3627,,The gardener ought to water the plants daily.,The plants ought to be watered daily by the gardener.,
3628,,They fund schools for girls.,Schools for girls are funded by them.,
3629,,I have lost my book.,My book has been lost.,
3630,,My father has promised me a bicycle.,I have been promised a bicycle by my father.,
3631,,The boy did not break the glass.,The glass was not broken by the boy.,
3632,,The jury found the convict guilty.,The convict was found guilty by the jury.,
3633,,She is putting in many hours of work.,Many hours of work are being put in by her.,
3634,,The lady of the house was furnishing the mansion.,The mansion was being furnished by the lady of the house.,
3635,,They established this club in 2000.,This club was established in 2000.,
3636,,Everyone praises good men.,Good men are praised by everyone.,
3637,,The principal will announce the results.,The results will be announced by the principal.,
3638,,My mother bakes cakes.,Cakes are baked by my mother.,
3639,,For a long time people believed the earth to be flat.,The earth was believed to be flat for a long time.,
3640,http://cbse.eduvictors.com/2013/02/cbse-class-78910-english-activepassive.html,Rita sings a song.,A song is sung by Rita.,
3641,,Children love the rainbow.,The rainbow is loved by Children.,
3642,,Granny told us an interesting story.,An interesting story was told us by Granny.,
3643,,Call in the doctor at once.,Doctor is to be called at once. ,
3644,,Everyone loved Mother Teresa.,Mother Teresa was loved by everyone.,
3645,,The wolf chased the sheep.,The sheep was chased by the wolf.,
3646,,Sujata drew a village scene.,A village scene was drawn by Sujata.,
3647,,Rakesh made special Kashmiri tea for everyone.,Special Kashmiri tea was made by Rakesh for everyone.,
